Time,Input_I,LIF_V,Izh_V,LIF_Spike,Izh_Spike
0.0000,0.0000,-65.0000,-65.3000,0,0
0.1000,0.0000,-65.0000,-65.5936,0,0
0.2000,0.0000,-65.0000,-65.8803,0,0
0.3000,0.0000,-65.0000,-66.1596,0,0
0.4000,0.0000,-65.0000,-66.4310,0,0
0.5000,0.0000,-65.0000,-66.6940,0,0
0.6000,0.0000,-65.0000,-66.9485,0,0
0.7000,0.0000,-65.0000,-67.1941,0,0
0.8000,0.0000,-65.0000,-67.4306,0,0
0.9000,0.0000,-65.0000,-67.6580,0,0
1.0000,0.0000,-65.0000,-67.8761,0,0
1.1000,0.0000,-65.0000,-68.0849,0,0
1.2000,0.0000,-65.0000,-68.2844,0,0
1.3000,0.0000,-65.0000,-68.4747,0,0
1.4000,0.0000,-65.0000,-68.6559,0,0
1.5000,0.0000,-65.0000,-68.8282,0,0
1.6000,0.0000,-65.0000,-68.9918,0,0
1.7000,0.0000,-65.0000,-69.1468,0,0
1.8000,0.0000,-65.0000,-69.2935,0,0
1.9000,0.0000,-65.0000,-69.4322,0,0
2.0000,0.0000,-65.0000,-69.5631,0,0
2.1000,0.0000,-65.0000,-69.6865,0,0
2.2000,0.0000,-65.0000,-69.8026,0,0
2.3000,0.0000,-65.0000,-69.9119,0,0
2.4000,0.0000,-65.0000,-70.0145,0,0
2.5000,0.0000,-65.0000,-70.1109,0,0
2.6000,0.0000,-65.0000,-70.2012,0,0
2.7000,0.0000,-65.0000,-70.2857,0,0
2.8000,0.0000,-65.0000,-70.3649,0,0
2.9000,0.0000,-65.0000,-70.4388,0,0
3.0000,0.0000,-65.0000,-70.5079,0,0
3.1000,0.0000,-65.0000,-70.5724,0,0
3.2000,0.0000,-65.0000,-70.6325,0,0
3.3000,0.0000,-65.0000,-70.6885,0,0
3.4000,0.0000,-65.0000,-70.7406,0,0
3.5000,0.0000,-65.0000,-70.7891,0,0
3.6000,0.0000,-65.0000,-70.8342,0,0
3.7000,0.0000,-65.0000,-70.8760,0,0
3.8000,0.0000,-65.0000,-70.9148,0,0
3.9000,0.0000,-65.0000,-70.9508,0,0
4.0000,0.0000,-65.0000,-70.9842,0,0
4.1000,0.0000,-65.0000,-71.0150,0,0
4.2000,0.0000,-65.0000,-71.0436,0,0
4.3000,0.0000,-65.0000,-71.0699,0,0
4.4000,0.0000,-65.0000,-71.0942,0,0
4.5000,0.0000,-65.0000,-71.1167,0,0
4.6000,0.0000,-65.0000,-71.1373,0,0
4.7000,0.0000,-65.0000,-71.1563,0,0
4.8000,0.0000,-65.0000,-71.1737,0,0
4.9000,0.0000,-65.0000,-71.1898,0,0
5.0000,0.0000,-65.0000,-71.2044,0,0
5.1000,0.0000,-65.0000,-71.2178,0,0
5.2000,0.0000,-65.0000,-71.2301,0,0
5.3000,0.0000,-65.0000,-71.2412,0,0
5.4000,0.0000,-65.0000,-71.2514,0,0
5.5000,0.0000,-65.0000,-71.2606,0,0
5.6000,0.0000,-65.0000,-71.2689,0,0
5.7000,0.0000,-65.0000,-71.2765,0,0
5.8000,0.0000,-65.0000,-71.2832,0,0
5.9000,0.0000,-65.0000,-71.2893,0,0
6.0000,0.0000,-65.0000,-71.2947,0,0
6.1000,0.0000,-65.0000,-71.2995,0,0
6.2000,0.0000,-65.0000,-71.3037,0,0
6.3000,0.0000,-65.0000,-71.3074,0,0
6.4000,0.0000,-65.0000,-71.3106,0,0
6.5000,0.0000,-65.0000,-71.3133,0,0
6.6000,0.0000,-65.0000,-71.3157,0,0
6.7000,0.0000,-65.0000,-71.3176,0,0
6.8000,0.0000,-65.0000,-71.3192,0,0
6.9000,0.0000,-65.0000,-71.3204,0,0
7.0000,0.0000,-65.0000,-71.3213,0,0
7.1000,0.0000,-65.0000,-71.3219,0,0
7.2000,0.0000,-65.0000,-71.3223,0,0
7.3000,0.0000,-65.0000,-71.3224,0,0
7.4000,0.0000,-65.0000,-71.3222,0,0
7.5000,0.0000,-65.0000,-71.3219,0,0
7.6000,0.0000,-65.0000,-71.3214,0,0
7.7000,0.0000,-65.0000,-71.3206,0,0
7.8000,0.0000,-65.0000,-71.3197,0,0
7.9000,0.0000,-65.0000,-71.3186,0,0
8.0000,0.0000,-65.0000,-71.3174,0,0
8.1000,0.0000,-65.0000,-71.3161,0,0
8.2000,0.0000,-65.0000,-71.3146,0,0
8.3000,0.0000,-65.0000,-71.3130,0,0
8.4000,0.0000,-65.0000,-71.3113,0,0
8.5000,0.0000,-65.0000,-71.3095,0,0
8.6000,0.0000,-65.0000,-71.3076,0,0
8.7000,0.0000,-65.0000,-71.3056,0,0
8.8000,0.0000,-65.0000,-71.3036,0,0
8.9000,0.0000,-65.0000,-71.3014,0,0
9.0000,0.0000,-65.0000,-71.2992,0,0
9.1000,0.0000,-65.0000,-71.2970,0,0
9.2000,0.0000,-65.0000,-71.2947,0,0
9.3000,0.0000,-65.0000,-71.2923,0,0
9.4000,0.0000,-65.0000,-71.2899,0,0
9.5000,0.0000,-65.0000,-71.2874,0,0
9.6000,0.0000,-65.0000,-71.2849,0,0
9.7000,0.0000,-65.0000,-71.2823,0,0
9.8000,0.0000,-65.0000,-71.2798,0,0
9.9000,0.0000,-65.0000,-71.2771,0,0
10.0000,0.0000,-65.0000,-71.2745,0,0
10.1000,20.0000,-64.2000,-69.2718,0,0
10.2000,20.0000,-63.4160,-67.3935,0,0
10.3000,20.0000,-62.6477,-65.6027,0,0
10.4000,20.0000,-61.8947,-63.8691,0,0
10.5000,20.0000,-61.1568,-62.1665,0,0
10.6000,20.0000,-60.4337,-60.4710,0,0
10.7000,20.0000,-59.7250,-58.7597,0,0
10.8000,20.0000,-59.0305,-57.0091,0,0
10.9000,20.0000,-58.3499,-55.1942,0,0
11.0000,20.0000,-57.6829,-53.2867,0,0
11.1000,20.0000,-57.0292,-51.2536,0,0
11.2000,20.0000,-56.3887,-49.0547,0,0
11.3000,20.0000,-55.7609,-46.6391,0,0
11.4000,20.0000,-55.1457,-43.9411,0,0
11.5000,20.0000,-54.5428,-40.8723,0,0
11.6000,20.0000,-53.9519,-37.3112,0,0
11.7000,20.0000,-53.3729,-33.0841,0,0
11.8000,20.0000,-52.8054,-27.9349,0,0
11.9000,20.0000,-52.2493,-21.4692,0,0
12.0000,20.0000,-51.7043,-13.0499,0,0
12.1000,20.0000,-51.1702,-1.5852,0,0
12.2000,20.0000,-50.6468,14.9386,0,0
12.3000,20.0000,-50.1339,30.0000,0,1
12.4000,20.0000,30.0000,-64.0994,1,0
12.5000,20.0000,-64.2000,-63.2120,0,0
12.6000,20.0000,-63.4160,-62.3312,0,0
12.7000,20.0000,-62.6477,-61.4508,0,0
12.8000,20.0000,-61.8947,-60.5647,0,0
12.9000,20.0000,-61.1568,-59.6665,0,0
13.0000,20.0000,-60.4337,-58.7498,0,0
13.1000,20.0000,-59.7250,-57.8076,0,0
13.2000,20.0000,-59.0305,-56.8322,0,0
13.3000,20.0000,-58.3499,-55.8151,0,0
13.4000,20.0000,-57.6829,-54.7465,0,0
13.5000,20.0000,-57.0292,-53.6150,0,0
13.6000,20.0000,-56.3887,-52.4071,0,0
13.7000,20.0000,-55.7609,-51.1063,0,0
13.8000,20.0000,-55.1457,-49.6926,0,0
13.9000,20.0000,-54.5428,-48.1412,0,0
14.0000,20.0000,-53.9519,-46.4202,0,0
14.1000,20.0000,-53.3729,-44.4887,0,0
14.2000,20.0000,-52.8054,-42.2931,0,0
14.3000,20.0000,-52.2493,-39.7610,0,0
14.4000,20.0000,-51.7043,-36.7934,0,0
14.5000,20.0000,-51.1702,-33.2502,0,0
14.6000,20.0000,-50.6468,-28.9276,0,0
14.7000,20.0000,-50.1339,-23.5186,0,0
14.8000,20.0000,30.0000,-16.5396,1,0
14.9000,20.0000,-64.2000,-7.1896,0,0
15.0000,20.0000,-63.4160,5.9477,0,0
15.1000,20.0000,-62.6477,25.5875,0,0
15.2000,20.0000,-61.8947,30.0000,0,1
15.3000,20.0000,-61.1568,-64.8789,0,0
15.4000,20.0000,-60.4337,-64.7570,0,0
15.5000,20.0000,-59.7250,-64.6342,0,0
15.6000,20.0000,-59.0305,-64.5104,0,0
15.7000,20.0000,-58.3499,-64.3856,0,0
15.8000,20.0000,-57.6829,-64.2595,0,0
15.9000,20.0000,-57.0292,-64.1323,0,0
16.0000,20.0000,-56.3887,-64.0036,0,0
16.1000,20.0000,-55.7609,-63.8735,0,0
16.2000,20.0000,-55.1457,-63.7418,0,0
16.3000,20.0000,-54.5428,-63.6085,0,0
16.4000,20.0000,-53.9519,-63.4733,0,0
16.5000,20.0000,-53.3729,-63.3363,0,0
16.6000,20.0000,-52.8054,-63.1972,0,0
16.7000,20.0000,-52.2493,-63.0559,0,0
16.8000,20.0000,-51.7043,-62.9124,0,0
16.9000,20.0000,-51.1702,-62.7664,0,0
17.0000,20.0000,-50.6468,-62.6179,0,0
17.1000,20.0000,-50.1339,-62.4666,0,0
17.2000,20.0000,30.0000,-62.3124,1,0
17.3000,20.0000,-64.2000,-62.1551,0,0
17.4000,20.0000,-63.4160,-61.9946,0,0
17.5000,20.0000,-62.6477,-61.8306,0,0
17.6000,20.0000,-61.8947,-61.6630,0,0
17.7000,20.0000,-61.1568,-61.4914,0,0
17.8000,20.0000,-60.4337,-61.3157,0,0
17.9000,20.0000,-59.7250,-61.1356,0,0
18.0000,20.0000,-59.0305,-60.9508,0,0
18.1000,20.0000,-58.3499,-60.7610,0,0
18.2000,20.0000,-57.6829,-60.5658,0,0
18.3000,20.0000,-57.0292,-60.3650,0,0
18.4000,20.0000,-56.3887,-60.1581,0,0
18.5000,20.0000,-55.7609,-59.9448,0,0
18.6000,20.0000,-55.1457,-59.7244,0,0
18.7000,20.0000,-54.5428,-59.4967,0,0
18.8000,20.0000,-53.9519,-59.2609,0,0
18.9000,20.0000,-53.3729,-59.0165,0,0
19.0000,20.0000,-52.8054,-58.7628,0,0
19.1000,20.0000,-52.2493,-58.4990,0,0
19.2000,20.0000,-51.7043,-58.2245,0,0
19.3000,20.0000,-51.1702,-57.9381,0,0
19.4000,20.0000,-50.6468,-57.6390,0,0
19.5000,20.0000,-50.1339,-57.3260,0,0
19.6000,20.0000,30.0000,-56.9978,1,0
19.7000,20.0000,-64.2000,-56.6530,0,0
19.8000,20.0000,-63.4160,-56.2900,0,0
19.9000,20.0000,-62.6477,-55.9068,0,0
20.0000,20.0000,-61.8947,-55.5016,0,0
20.1000,20.0000,-61.1568,-55.0717,0,0
20.2000,20.0000,-60.4337,-54.6146,0,0
20.3000,20.0000,-59.7250,-54.1269,0,0
20.4000,20.0000,-59.0305,-53.6051,0,0
20.5000,20.0000,-58.3499,-53.0449,0,0
20.6000,20.0000,-57.6829,-52.4411,0,0
20.7000,20.0000,-57.0292,-51.7877,0,0
20.8000,20.0000,-56.3887,-51.0778,0,0
20.9000,20.0000,-55.7609,-50.3027,0,0
21.0000,20.0000,-55.1457,-49.4520,0,0
21.1000,20.0000,-54.5428,-48.5132,0,0
21.2000,20.0000,-53.9519,-47.4707,0,0
21.3000,20.0000,-53.3729,-46.3050,0,0
21.4000,20.0000,-52.8054,-44.9916,0,0
21.5000,20.0000,-52.2493,-43.4990,0,0
21.6000,20.0000,-51.7043,-41.7865,0,0
21.7000,20.0000,-51.1702,-39.7999,0,0
21.8000,20.0000,-50.6468,-37.4665,0,0
21.9000,20.0000,-50.1339,-34.6858,0,0
22.0000,20.0000,30.0000,-31.3155,1,0
22.1000,20.0000,-64.2000,-27.1484,0,0
22.2000,20.0000,-63.4160,-21.8706,0,0
22.3000,20.0000,-62.6477,-14.9876,0,0
22.4000,20.0000,-61.8947,-5.6768,0,0
22.5000,20.0000,-61.1568,7.5206,0,0
22.6000,20.0000,-60.4337,27.4144,0,0
22.7000,20.0000,-59.7250,30.0000,0,1
22.8000,20.0000,-59.0305,-65.4937,0,0
22.9000,20.0000,-58.3499,-65.9722,0,0
23.0000,20.0000,-57.6829,-66.4339,0,0
23.1000,20.0000,-57.0292,-66.8775,0,0
23.2000,20.0000,-56.3887,-67.3020,0,0
23.3000,20.0000,-55.7609,-67.7065,0,0
23.4000,20.0000,-55.1457,-68.0903,0,0
23.5000,20.0000,-54.5428,-68.4531,0,0
23.6000,20.0000,-53.9519,-68.7947,0,0
23.7000,20.0000,-53.3729,-69.1151,0,0
23.8000,20.0000,-52.8054,-69.4145,0,0
23.9000,20.0000,-52.2493,-69.6932,0,0
24.0000,20.0000,-51.7043,-69.9518,0,0
24.1000,20.0000,-51.1702,-70.1907,0,0
24.2000,20.0000,-50.6468,-70.4107,0,0
24.3000,20.0000,-50.1339,-70.6125,0,0
24.4000,20.0000,30.0000,-70.7968,1,0
24.5000,20.0000,-64.2000,-70.9647,0,0
24.6000,20.0000,-63.4160,-71.1167,0,0
24.7000,20.0000,-62.6477,-71.2540,0,0
24.8000,20.0000,-61.8947,-71.3772,0,0
24.9000,20.0000,-61.1568,-71.4873,0,0
25.0000,20.0000,-60.4337,-71.5851,0,0
